earthquake,time
 '2010MAULEC01DELO_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01HAYE_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01LORI_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01LUTT_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01POLL_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01SHAO_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01SLAD_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC02LORI_grid.csv',2010-02-27 06:34:11 UTC
 '2010NORTHE01HAYE_grid.csv',2010-04-06 22:15:01 UTC
 '2010NORTHE02HAYE_grid.csv',2010-05-09 05:59:41 UTC
 '2010SUMATR01HAYE_grid.csv',2010-10-25 14:42:22 UTC
 '2010VANUAT01HAYE_grid.csv',2010-12-25 13:16:37 UTC
 '2011FUKUSH01TANA_grid.csv',2011-04-11 08:16:12 UTC
 '2011HONSHU01SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011HONSHU02SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011HONSHU03SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011HONSHU04SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011KERMAD01HAYE_grid.csv',2011-07-06 19:03:18 UTC
 '2011KERMAD02HAYE_grid.csv',2011-10-21 17:57:16 UTC
 '2011OFFSHO01HAYE_grid.csv',2011-03-09 02:45:20 UTC
 '2011PAKIST01HAYE_grid.csv',2011-01-18 20:23:23 UTC
 '2011PAKIST02HAYE_grid.csv',2011-01-18 20:23:23 UTC
 '2011TOHOKU01AMMO_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01FUJI_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01GUSM_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01HAYE_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01IDEx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01LAYx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01SATA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01WEIx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01YAGI_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01YAMA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01YUEx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02FUJI_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02GUSM_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02SATA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02WEIx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU03SATA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU03WEIx_grid.csv',2011-03-11 05:46:24 UTC
 '2011VANTUR01ALTI_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01ELLI_1_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01HAYE_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01KONC_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01SHAO_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01UTKU_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANUAT01HAYE_grid.csv',2011-08-20 18:19:23 UTC
 '2012BRAWLE01WEIx_grid.csv',2012-08-26 20:57:58 UTC
 '2012BRAWLE02WEIx_grid.csv',2012-08-26 19:31:23 UTC
 '2012COSTAR01HAYE_grid.csv',2012-09-05 14:42:07 UTC
 '2012COSTAR01LIUx_grid.csv',2012-09-05 14:42:07 UTC
 '2012COSTAR01YUEx_grid.csv',2012-09-05 14:42:07 UTC
 '2012EASTOF01HAYE_grid.csv',2012-08-31 12:47:33 UTC
 '2012MASSET01LAYx_grid.csv',2012-10-28 03:04:08 UTC
 '2012MASSET01SHAO_grid.csv',2012-10-28 03:04:08 UTC
 '2012MASSET01WEIx_grid.csv',2012-10-28 03:04:08 UTC
 '2012OAXACA01HAYE_grid.csv',2012-03-20 18:02:47 UTC
 '2012OAXACA01WEIx_grid.csv',2012-03-20 18:02:47 UTC
 '2012OFFSHO01HAYE_grid.csv',2012-08-27 04:37:19 UTC
 '2012SUMATR01HAYE_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR01SHAO_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR01WEIx_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR01YUEx_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR02HAYE_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR03HAYE_grid.csv',2012-01-10 18:36:59 UTC
